name,position,team,age_2024,2023_rush_yds,2023_rec_yds,2024_proj_rush,2024_proj_rec,2024_proj_total,rush_change,rec_change
Josh Oliver,TE,MIN,27,0,213,0,216,216,0,3
Gunner Olszewski,WR,PIT,28,0,0,0,9,9,0,9
K.J. Osborn,WR,MIN,27,0,540,0,549,549,0,9
Cade Otton,TE,TAM,25,0,455,0,548,548,0,93
Donald Parham,TE,LAC,27,0,285,0,271,271,0,-14
DeVante Parker,WR,NWE,31,0,394,0,427,427,0,33
Colby Parkinson,TE,SEA,25,0,247,0,283,283,0,36
Zach Pascal,WR,ARI,30,0,19,0,40,40,0,21
Donovan Peoples-Jones,WR,2TM,25,0,155,0,182,182,0,27
A.T. Perry,WR,NOR,25,0,246,0,174,174,0,-72
Kyle Philips,WR,TEN,25,0,181,0,202,202,0,21
Alec Pierce,WR,IND,24,0,514,0,415,415,0,-99
Michael Pittman Jr.,WR,IND,27,0,1152,0,1246,1246,0,94
Byron Pringle,WR,WAS,31,0,161,0,224,224,0,63
James Proche,WR,CLE,28,0,0,0,0,0,0,0
MyCole Pruitt,TE,ATL,32,0,110,0,88,88,0,-22
Teagan Quitoriano,TE,HOU,24,0,33,0,26,26,0,-7
Kevin Rader,TE,TEN,29,0,6,0,8,8,0,2
